ID,TAG_ID,ELEV,VEG,PLOT,PROCESS_DATE,MASS,N,C,Comments
HC1-1,HC 101,HIGH,CANOPY,HC1,08/06/2015,12.832,3.142826796,50.22196579,
HC1-2,HC 102,HIGH,CANOPY,HC1,08/06/2015,10.725,2.977107763,49.36004257,
HC1-3,HC 103,HIGH,CANOPY,HC1,08/06/2015,11.125,4.883544445,52.9344101,
HC1-5,HC 105,HIGH,CANOPY,HC1,08/05/2015,9.053,3.497469187,48.99414825,
HC2-3,HC 203,HIGH,CANOPY,HC2,08/06/2015,14.715,4.013595581,52.18109131,
HC3-1,HC 301,HIGH,CANOPY,HC3,08/06/2015,9.84,2.478994131,49.4128952,
HC3-2,HC 302,HIGH,CANOPY,HC3,08/06/2015,11.39,2.583340406,47.86467743,
HC3-3,HC 303,HIGH,CANOPY,HC3,08/06/2015,9.656,3.209186316,48.58909988,
HC3-4,HC 304,HIGH,CANOPY,HC3,08/06/2015,12.66,2.861663342,49.44807434,
HC3-5,HC 305,HIGH,CANOPY,HC3,12/14/2015,4.388,2.774485826,50.09408951,
HC2-2,HC2 2,HIGH,CANOPY,HC2,12/09/2015,13.21,1.881896734,49.24772644,
HC2-4,HC2 4,HIGH,CANOPY,HC2,12/09/2015,9.248,3.047401667,52.70251083,
HC2-5,HC2 5,HIGH,CANOPY,HC2,12/10/2015,5.271,2.248321056,50.83537292,
HC1-4,HCL 4,HIGH,CANOPY,HC1,12/09/2015,10.547,2.237547398,48.95372772,
HO1-1,HO 101,HIGH,OPEN,HO1,08/05/2015,11.367,2.551854372,49.19530106,
HO1-2,HO 102,HIGH,OPEN,HO1,08/05/2015,9.878,2.631214857,48.20742798,
HO1-3,HO 103,HIGH,OPEN,HO1,12/14/2015,6.318,3.394675732,55.00009537,
HO1-5,HO 105,HIGH,OPEN,HO1,12/14/2015,4.695,4.576249123,51.56585693,
HO2-2,HO 202,HIGH,OPEN,HO2,08/06/2015,10.812,3.846805096,53.00793457,
HO2-3,HO 203,HIGH,OPEN,HO2,08/05/2015,9.877,2.594611168,48.11380768,
HO2-4,HO 204,HIGH,OPEN,HO2,08/06/2015,10.849,2.503604889,49.04228973,
HO2-5,HO 205,HIGH,OPEN,HO2,08/05/2015,9.612,2.796095371,48.63221359,
HO3-1,HO 301,HIGH,OPEN,HO3,08/06/2015,14.147,4.005985737,51.69326401,
HO3-2,HO 302,HIGH,OPEN,HO3,08/05/2015,10.662,3.021098852,49.10756302,
HO3-2,HO3 2,HIGH,OPEN,HO3,12/10/2015,8.093,2.184169292,49.06111526,
HO1-4,HOI 4,HIGH,OPEN,HO1,12/09/2015,11.61,2.505021095,47.08003616,
HS1-2,HS 102,HIGH,SHRUB,HS1,08/06/2015,11.188,2.587064981,49.57904053,
HS1-3,HS 103,HIGH,SHRUB,HS1,08/05/2015,13.628,2.691064119,48.87595367,
HS1-5,HS 105,HIGH,SHRUB,HS1,08/06/2015,11.222,4.319146156,54.31840515,
HS2-1,HS 201,HIGH,SHRUB,HS2,08/05/2015,11.494,2.577000856,49.00218964,
HS2-2,HS 202,HIGH,SHRUB,HS2,08/06/2015,13.589,2.547876596,48.4774704,
HS2-3,HS 203,HIGH,SHRUB,HS2,08/06/2015,15.711,3.977841139,49.84036255,
HS3-1,HS 301,HIGH,SHRUB,HS3,08/06/2015,11.502,3.882904768,53.92457581,
HS3-2,HS 302,HIGH,SHRUB,HS3,08/05/2015,14.009,2.774863958,49.11845016,
HS3-3,HS 303,HIGH,SHRUB,HS3,08/06/2015,15.46,4.028799057,48.11053467,
HS3-5,HS 305,HIGH,SHRUB,HS3,08/06/2015,9.596,2.77083087,49.20491791,
HS2-4,HS2 4,HIGH,SHRUB,HS2,12/09/2015,9.488,1.743412256,50.41054535,
HS3-4,HS3 4,HIGH,SHRUB,HS3,12/09/2015,9.438,2.072134972,54.84143066,
HS1-4,HSI 4,HIGH,SHRUB,HS1,12/09/2015,11.62,1.765247226,46.54669189,
LC1-1,LC 101,LOW,CANOPY,LC1,08/06/2015,11.686,2.736308098,48.20730972,
LC1-2,LC 102,LOW,CANOPY,LC1,08/06/2015,16.393,4.751106262,51.5104866,
LC1-3,LC 103,LOW,CANOPY,LC1,08/05/2015,9.2,3.711175919,48.19573975,
LC1-4,LC 104,LOW,CANOPY,LC1,08/06/2015,10.353,3.827708721,49.58026123,
LC1-5,LC 105,LOW,CANOPY,LC1,mean,10000,4.477009,52.81886,"averaged of two values (N = 5.64, 3.31; C = 55.13, 50.50)"
LC1-5,LC 105,LOW,CANOPY,LC1,12/14/2015,8.078,3.147549391,50.12155914,
LC2-1,LC 201,LOW,CANOPY,LC2,08/05/2015,10.249,2.917724848,48.10855484,
LC2-2,LC 202,LOW,CANOPY,LC2,08/05/2015,13.128,3.212623835,48.04122925,
LC2-5,LC 205,LOW,CANOPY,LC2,MEAN,10000,3.314127604,48.88152059,"average of three values (N = 3.66, 3.46, 2.81; C = 49.19, 48.45, 48.98)"
LC3-2,LC 302,LOW,CANOPY,LC3,08/06/2015,14.698,3.217069626,48.7273941,
LC3-3,LC 303,LOW,CANOPY,LC3,MEAN,1000,4.624201854,53.42916616,"average( of three values (N = 5.83, 4.68, 3.34; C = 51.34, 58.67, 50.27)"
LC3-5,LC 305,LOW,CANOPY,LC3,08/05/2015,9.949,3.004818678,48.88676453,
LC3-4,LC3 4,LOW,CANOPY,LC3,12/09/2015,11.046,2.458631754,48.96169281,
LO1-1,LO 101,LOW,OPEN,LO1,08/05/2015,10.829,2.808762312,47.11424255,
LO1-2,LO 102,LOW,OPEN,LO1,08/05/2015,10.081,3.171450138,47.89507294,
LO1-4,LO 104 OCT,LOW,OPEN,LO1,08/05/2015,9.902,3.478290558,48.32151031,Listed as October collection need to see why it is listed that way. 
LO2-1,LO 201,LOW,OPEN,LO2,08/05/2015,10.221,2.523368835,48.01744843,
LO2-3,LO 203,LOW,OPEN,LO2,12/14/2015,5.807,2.632790804,35.9537735,
LO2-3,LO 203,LOW,OPEN,LO2,12/14/2015,8.046,2.071295023,38.45998383,
LO2-5,LO 205,LOW,OPEN,LO2,08/05/2015,9.757,3.585848331,47.2740593,
LO3-1,LO 301,LOW,OPEN,LO3,MEAN,1000,2.353619218,49.01186752,"average of two samples (N = 2.40, 2.30; C = 49.27, 48.74)"
LO3-2,LO 302,LOW,OPEN,LO3,08/05/2015,12.472,3.649443388,47.18924713,
LO3-3,LO 303,LOW,OPEN,LO3,08/05/2015,11.804,2.943227053,45.17153931,
LO3-5,LO 305,LOW,OPEN,LO3,08/06/2015,10.152,4.750966549,50.37366104,
LO2-2,LO2 2,LOW,OPEN,LO2,12/09/2015,6.435,3.030958891,50.61554337,
LO2-4,LO2 4,LOW,OPEN,LO2,12/09/2015,12.621,2.821074963,49.5654068,
LO1-5,LOI 5,LOW,OPEN,LO1,12/09/2015,11.656,2.816713095,48.28300476,
LS2-2,LS 202,LOW,SHRUB,LS2,08/05/2015,9.958,3.150645494,48.38277054,
LS2-3,LS 203,LOW,SHRUB,LS2,08/05/2015,10.494,2.880811214,48.24603653,
LS2-5,LS 205,LOW,SHRUB,LS2,08/05/2015,9.212,2.84562993,49.90249252,
LS3-1,LS 301,LOW,SHRUB,LS3,08/06/2015,12.79,4.890757084,50.21417236,
LS3-2,LS 302,LOW,SHRUB,LS3,08/06/2015,13.71,3.55201292,48.55715561,
LS3-3,LS 303,LOW,SHRUB,LS3,08/05/2015,10.981,3.627071619,48.82358932,
LS3-5,LS 305,LOW,SHRUB,LS3,08/06/2015,9.854,3.306593657,49.53829575,
LS1-4,LS1 4,LOW,SHRUB,LS1,12/09/2015,12.11,2.034105778,49.1364975,
LS2-4,LS2 4,LOW,SHRUB,LS2,12/09/2015,12.397,2.043765545,48.49828339,
LS3-4,LS3 4,LOW,SHRUB,LS3,12/09/2015,9.906,2.996300697,50.61000443,
LS1-1,LSI 1,LOW,SHRUB,LS1,12/09/2015,8.276,2.626909494,49.50980759,
LS1-3,LSI 3,LOW,SHRUB,LS1,12/10/2015,5.745,2.546907187,48.32347488,
MC1-2,MC 102,MID,CANOPY,MC1,08/06/2015,9.727,2.848274708,50.22155762,
MC1-3,MC 103,MID,CANOPY,MC1,08/06/2015,11.552,4.447853088,53.09096909,
MC2-1,MC 201,MID,CANOPY,MC2,MEAN,1000,3.20175755,48.56936073,"average of two samples (N = 3.65,2.74; C = 48.82,48.31)"
MC2-4,MC 204,MID,CANOPY,MC2,08/06/2015,9.821,3.274914265,50.43953705,
MC2-5,MC 205,MID,CANOPY,MC2,08/06/2015,9.71,3.041420698,49.23820496,
MC3-1,MC 301,MID,CANOPY,MC3,08/05/2015,14.014,2.9795928,48.89081192,
MC3-2,MC 302,MID,CANOPY,MC3,08/06/2015,11.719,4.619702816,50.66913223,
MC3-3,MC 303,MID,CANOPY,MC3,08/05/2015,9.172,3.03943038,47.93245316,
MC3-4,MC 304,MID,CANOPY,MC3,08/06/2015,11.988,2.823348522,49.66478729,
MC3-5,MC 305,MID,CANOPY,MC3,08/05/2015,11.55,2.583697319,49.07881165,
MC1-5,MC1 5,MID,CANOPY,MC1,12/09/2015,4.592,2.641577721,51.83441925,
MC3-4,MC3 4,MID,CANOPY,MC3,12/09/2015,10.826,2.308752775,52.7961731,
MC1-4,MCI 4,MID,CANOPY,MC1,12/09/2015,16.281,2.242595434,45.37730789,
MO1-3,MO 103,MID,OPEN,MO1,08/05/2015,8.96,3.141641378,48.51173401,
MO1-5,MO 105,MID,OPEN,MO1,MEAN,1000,3.7494874,52.10210927,"average of three values (N = 5.12, 3.20, 2.91; C = 50.7, 50.4, 48.71)"
MO2-2,MO 202,MID,OPEN,MO2,08/05/2015,9.987,3.051439762,48.71303558,
MO2-4,MO 204,MID,OPEN,MO2,08/06/2015,12.109,4.15849638,52.46398544,
MO3-3,MO 303,MID,OPEN,MO3,08/06/2015,11.581,3.517115116,48.92565536,
MO3-5,MO 305,MID,OPEN,MO3,08/06/2015,10.266,3.699501038,53.43686295,
MO2-5,MO2 5,MID,OPEN,MO2,12/09/2015,9.856,1.95487988,49.56887054,
MO3-4,MO3 4,MID,OPEN,MO3,12/09/2015,9.041,2.227459431,53.79019547,
MO1-2,MOI 2,MID,OPEN,MO1,12/10/2015,9.221,2.307240486,50.13407516,
MO1-4,MOI 4,MID,OPEN,MO1,12/09/2015,15.08,2.80010891,47.16605377,
MS1-1,MS 101,MID,SHRUB,MS1,08/06/2015,12.736,3.048847914,50.45503998,
MS1-2,MS 102,MID,SHRUB,MS1,08/06/2015,11.353,2.919146299,49.89938354,
MS1-3,MS 103,MID,SHRUB,MS1,08/06/2015,11.012,3.749978542,53.12506104,
MS2-1,MS 201,MID,SHRUB,MS2,08/05/2015,10.967,3.588172674,64.56542206,
MS2-3,MS 203,MID,SHRUB,MS2,08/06/2015,10.528,3.334022284,48.04440308,
MS2-5,MS 205,MID,SHRUB,MS2,08/05/2015,10.214,3.704094172,48.72952271,
MS3-2,MS 302,MID,SHRUB,MS3,08/05/2015,11.514,3.071020126,49.15105438,
MS3-5,MS 305,MID,SHRUB,MS3,08/06/2015,10.12,2.92660737,48.32668304,
MS2-5,MS2 5,MID,SHRUB,MS2,12/09/2015,9.966,2.813060284,49.49681091,
MS3-3,MS303,MID,SHRUB,MS3,08/05/2015,9.751,2.476478338,48.40806961,
MS1-4,MSI 4,MID,SHRUB,MS1,12/09/2015,9.417,2.157453775,51.1880188,
