STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WINTER,graphdates
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111001,76,0,0,128,0,0,2011-2012,10/1/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111002,257,51,86,17,-6,-6,2011-2012,10/2/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111003,183,127,124,6,-6,-6,2011-2012,10/3/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111004,81,51,0,50,-6,50,2011-2012,10/4/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111005,13,0,0,78,50,61,2011-2012,10/5/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111006,0,0,0,161,61,72,2011-2012,10/6/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111007,0,0,0,194,61,61,2011-2012,10/7/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111008,0,0,0,211,61,100,2011-2012,10/8/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111009,0,0,0,233,83,83,2011-2012,10/9/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111010,0,0,0,228,83,94,2011-2012,10/10/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111011,0,0,0,206,94,117,2011-2012,10/11/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111012,86,0,0,172,94,106,2011-2012,10/12/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111013,38,0,0,128,100,122,2011-2012,10/13/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111014,84,0,0,167,100,100,2011-2012,10/14/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111015,150,0,0,106,39,44,2011-2012,10/15/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111016,0,0,0,111,44,50,2011-2012,10/16/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111017,0,0,0,172,44,50,2011-2012,10/17/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111018,0,0,0,139,44,72,2011-2012,10/18/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111019,0,0,0,200,67,111,2011-2012,10/19/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111020,66,0,0,128,17,17,2011-2012,10/20/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111021,76,0,0,28,0,6,2011-2012,10/21/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111022,3,0,0,22,6,17,2011-2012,10/22/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111023,0,0,0,106,-11,11,2011-2012,10/23/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111024,0,0,0,122,11,67,2011-2012,10/24/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111025,28,0,0,139,22,22,2011-2012,10/25/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111026,0,0,0,139,22,111,2011-2012,10/26/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111027,274,0,0,128,89,100,2011-2012,10/27/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111028,152,0,0,100,-33,-33,2011-2012,10/28/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111029,99,127,142,6,-39,-33,2011-2012,10/29/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111030,69,152,81,0,-33,-22,2011-2012,10/30/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111031,0,102,0,61,-22,11,2011-2012,10/31/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111101,0,51,0,56,-33,-22,2011-2012,11/1/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111102,0,0,0,100,-33,6,2011-2012,11/2/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111103,0,0,0,161,6,67,2011-2012,11/3/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111104,0,0,0,172,44,44,2011-2012,11/4/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111105,0,0,0,106,-44,-39,2011-2012,11/5/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111106,0,0,0,89,-39,56,2011-2012,11/6/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111107,0,0,0,167,28,56,2011-2012,11/7/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111108,0,0,0,161,17,39,2011-2012,11/8/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111109,0,0,0,194,39,67,2011-2012,11/9/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111110,3,0,0,200,67,78,2011-2012,11/10/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111111,15,25,15,78,-61,-56,2011-2012,11/11/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111112,5,25,8,22,-56,22,2011-2012,11/12/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111113,0,0,0,111,22,56,2011-2012,11/13/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111114,0,0,0,139,56,128,2011-2012,11/14/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111115,89,0,0,178,72,72,2011-2012,11/15/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111116,38,0,0,111,67,100,2011-2012,11/16/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111117,198,0,0,106,-28,-28,2011-2012,11/17/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111118,36,51,46,-28,-94,-94,2011-2012,11/18/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111119,0,25,0,56,-94,44,2011-2012,11/19/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111120,18,0,0,111,33,89,2011-2012,11/20/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111121,163,0,0,100,89,89,2011-2012,11/21/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111122,36,0,0,106,89,100,2011-2012,11/22/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111123,447,0,0,122,72,72,2011-2012,11/23/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111124,71,25,30,72,-22,-17,2011-2012,11/24/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111125,0,0,0,61,-17,22,2011-2012,11/25/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111126,0,0,0,122,22,78,2011-2012,11/26/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111127,0,0,0,111,56,78,2011-2012,11/27/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111128,0,0,0,161,78,106,2011-2012,11/28/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111129,51,0,0,144,106,106,2011-2012,11/29/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111130,152,76,81,106,-39,-39,2011-2012,11/30/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111201,13,76,20,-33,-56,-56,2011-2012,12/1/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111202,0,51,0,44,-61,-6,2011-2012,12/2/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111203,0,51,0,56,-56,0,2011-2012,12/3/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111204,0,25,0,100,-6,33,2011-2012,12/4/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111205,0,0,0,144,33,72,2011-2012,12/5/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111206,48,0,0,133,72,106,2011-2012,12/6/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111207,135,0,0,122,50,56,2011-2012,12/7/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111208,411,229,257,56,-83,-78,2011-2012,12/8/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111209,0,178,0,-22,-83,-33,2011-2012,12/9/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111210,0,152,0,22,-50,-50,2011-2012,12/10/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111211,0,127,0,-33,-128,-122,2011-2012,12/11/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111212,0,127,0,33,-122,-11,2011-2012,12/12/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111213,0,102,0,61,-33,-33,2011-2012,12/13/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111214,0,102,0,50,-33,22,2011-2012,12/14/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111215,15,0,0,100,22,100,2011-2012,12/15/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111216,66,0,0,128,-28,-28,2011-2012,12/16/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111217,0,0,0,-28,-67,-67,2011-2012,12/17/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111218,30,51,43,-50,-78,-67,2011-2012,12/18/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111219,10,51,13,-17,-67,-17,2011-2012,12/19/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111220,13,0,0,44,-17,11,2011-2012,12/20/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111221,0,0,0,94,11,78,2011-2012,12/21/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111222,18,0,0,117,33,33,2011-2012,12/22/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111223,206,0,0,89,-6,-6,2011-2012,12/23/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111224,13,25,18,-6,-56,-56,2011-2012,12/24/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111225,0,25,0,-11,-56,-39,2011-2012,12/25/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111226,0,0,0,28,-50,-50,2011-2012,12/26/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111227,0,0,0,67,-50,50,2011-2012,12/27/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111228,221,51,66,56,-39,-39,2011-2012,12/28/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111229,0,51,0,-39,-72,-50,2011-2012,12/29/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111230,0,51,0,11,-50,11,2011-2012,12/30/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20111231,30,0,0,89,11,17,2011-2012,12/31/2011
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120101,5,0,0,33,0,33,2011-2012,1/1/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120102,48,25,23,94,-83,-83,2011-2012,1/2/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120103,119,229,269,-78,-133,-133,2011-2012,1/3/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120104,41,254,71,-117,-161,-139,2011-2012,1/4/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120105,5,203,8,-44,-139,-56,2011-2012,1/5/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120106,0,152,0,17,-56,11,2011-2012,1/6/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120107,0,76,0,100,11,56,2011-2012,1/7/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120108,8,0,0,78,-33,-33,2011-2012,1/8/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120109,0,0,0,11,-50,-17,2011-2012,1/9/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120110,0,0,0,28,-39,-39,2011-2012,1/10/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120111,0,0,0,33,-39,11,2011-2012,1/11/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120112,213,0,0,44,0,39,2011-2012,1/12/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120113,114,76,86,50,-122,-122,2011-2012,1/13/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120114,63,152,122,-117,-133,-122,2011-2012,1/14/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120115,38,203,81,-89,-133,-133,2011-2012,1/15/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120116,0,178,0,-61,-150,-67,2011-2012,1/16/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120117,163,51,0,61,-67,56,2011-2012,1/17/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120118,117,25,18,100,-72,-72,2011-2012,1/18/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120119,15,25,23,-67,-128,-117,2011-2012,1/19/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120120,79,152,130,0,-117,-83,2011-2012,1/20/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120121,84,76,0,28,-83,11,2011-2012,1/21/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120122,0,76,0,22,-72,-67,2011-2012,1/22/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120123,0,25,0,56,-67,50,2011-2012,1/23/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120124,13,0,0,106,0,0,2011-2012,1/24/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120125,0,0,0,50,-33,-28,2011-2012,1/25/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120126,5,0,0,139,-33,61,2011-2012,1/26/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120127,178,0,0,117,61,78,2011-2012,1/27/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120128,71,25,20,78,-44,-33,2011-2012,1/28/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120129,5,25,8,17,-89,-83,2011-2012,1/29/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120130,41,76,46,0,-100,-100,2011-2012,1/30/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120131,0,51,0,44,-100,44,2011-2012,1/31/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120201,28,0,0,117,39,44,2011-2012,2/1/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120202,58,0,0,61,39,39,2011-2012,2/2/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120203,0,0,0,44,-50,-50,2011-2012,2/3/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120204,0,0,0,83,-50,0,2011-2012,2/4/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120205,86,51,43,39,-33,-33,2011-2012,2/5/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120206,5,51,8,0,-89,-83,2011-2012,2/6/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120207,0,25,0,44,-89,-39,2011-2012,2/7/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120208,0,25,0,50,-39,-33,2011-2012,2/8/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120209,84,102,84,-11,-78,-78,2011-2012,2/9/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120210,0,76,0,-11,-94,-72,2011-2012,2/10/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120211,56,127,51,-22,-72,-61,2011-2012,2/11/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120212,137,279,216,-50,-178,-161,2011-2012,2/12/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120213,23,254,33,-106,-161,-106,2011-2012,2/13/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120214,0,203,0,-28,-106,-39,2011-2012,2/14/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120215,48,203,41,33,-39,-39,2011-2012,2/15/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120216,18,152,0,56,-39,17,2011-2012,2/16/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120217,112,102,0,50,-39,-39,2011-2012,2/17/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120218,0,76,0,11,-39,-22,2011-2012,2/18/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120219,0,76,0,67,-67,-67,2011-2012,2/19/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120220,0,76,0,-6,-83,-83,2011-2012,2/20/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120221,0,76,0,44,-83,0,2011-2012,2/21/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120222,10,51,0,61,-11,-11,2011-2012,2/22/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120223,53,51,5,83,-11,6,2011-2012,2/23/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120224,140,0,0,94,6,94,2011-2012,2/24/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120225,74,76,84,128,-89,-89,2011-2012,2/25/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120226,41,102,71,-67,-111,-111,2011-2012,2/26/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120227,0,76,0,39,-111,28,2011-2012,2/27/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120228,0,25,0,94,-61,-56,2011-2012,2/28/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120229,13,0,0,111,-56,67,2011-2012,2/29/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120301,645,0,0,128,28,28,2011-2012,3/1/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120302,0,0,0,78,-17,44,2011-2012,3/2/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120303,226,0,0,106,6,6,2011-2012,3/3/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120304,5,0,10,50,-67,-67,2011-2012,3/4/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120305,33,76,66,-44,-89,-72,2011-2012,3/5/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120306,58,152,104,-39,-128,-100,2011-2012,3/6/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120307,0,51,0,111,-100,67,2011-2012,3/7/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120308,0,0,0,150,67,78,2011-2012,3/8/2012
GHCND:USC00462211,DAVIS 3 SE WV US,1162.8,39.098,-79.4322,20120309,71,0,0,161,-44,-44,2011-2012,3/9/2012
