"","year","day","mon","length"
"1",2010,1,1,0.788888888888889
"2",2010,2,1,0.790277777777778
"3",2010,3,1,0.791666666666667
"4",2010,4,1,0.793055555555556
"5",2010,5,1,0.794444444444444
"6",2010,6,1,0.794444444444444
"7",2010,7,1,0.795833333333333
"8",2010,8,1,0.797222222222222
"9",2010,9,1,0.8
"10",2010,10,1,0.801388888888889
"11",2010,11,1,0.802777777777778
"12",2010,12,1,0.804166666666667
"13",2010,13,1,0.805555555555555
"14",2010,14,1,0.808333333333333
"15",2010,15,1,0.809722222222222
"16",2010,16,1,0.8125
"17",2010,17,1,0.813888888888889
"18",2010,18,1,0.816666666666667
"19",2010,19,1,0.818055555555556
"20",2010,20,1,0.820833333333333
"21",2010,21,1,0.823611111111111
"22",2010,22,1,0.825
"23",2010,23,1,0.827777777777778
"24",2010,24,1,0.830555555555556
"25",2010,25,1,0.833333333333333
"26",2010,26,1,0.834722222222222
"27",2010,27,1,0.8375
"28",2010,28,1,0.840277777777778
"29",2010,29,1,0.843055555555556
"30",2010,30,1,0.845833333333333
"31",2010,31,1,0.848611111111111
"32",2010,1,2,0.851388888888889
"33",2010,2,2,0.854166666666667
"34",2010,3,2,0.856944444444444
"35",2010,4,2,0.861111111111111
"36",2010,5,2,0.863888888888889
"37",2010,6,2,0.866666666666667
"38",2010,7,2,0.869444444444444
"39",2010,8,2,0.872222222222222
"40",2010,9,2,0.876388888888889
"41",2010,10,2,0.879166666666667
"42",2010,11,2,0.881944444444445
"43",2010,12,2,0.884722222222222
"44",2010,13,2,0.888888888888889
"45",2010,14,2,0.891666666666667
"46",2010,15,2,0.894444444444444
"47",2010,16,2,0.898611111111111
"48",2010,17,2,0.901388888888889
"49",2010,18,2,0.905555555555556
"50",2010,19,2,0.908333333333333
"51",2010,20,2,0.911111111111111
"52",2010,21,2,0.915277777777778
"53",2010,22,2,0.918055555555556
"54",2010,23,2,0.922222222222222
"55",2010,24,2,0.925
"56",2010,25,2,0.929166666666667
"57",2010,26,2,0.931944444444444
"58",2010,27,2,0.936111111111111
"59",2010,28,2,0.938888888888889
"60",2010,29,2,0.943055555555556
"63",2010,1,3,0.945833333333333
"64",2010,2,3,0.95
"65",2010,3,3,0.952777777777778
"66",2010,4,3,0.956944444444444
"67",2010,5,3,0.959722222222222
"68",2010,6,3,0.963888888888889
"69",2010,7,3,0.966666666666667
"70",2010,8,3,0.970833333333333
"71",2010,9,3,0.973611111111111
"72",2010,10,3,0.977777777777778
"73",2010,11,3,0.981944444444444
"74",2010,12,3,0.984722222222222
"75",2010,13,3,0.988888888888889
"76",2010,14,3,0.991666666666667
"77",2010,15,3,0.995833333333333
"78",2010,16,3,0.998611111111111
"79",2010,17,3,1.00277777777778
"80",2010,18,3,1.00694444444444
"81",2010,19,3,1.00972222222222
"82",2010,20,3,1.01388888888889
"83",2010,21,3,1.01666666666667
"84",2010,22,3,1.02083333333333
"85",2010,23,3,1.02361111111111
"86",2010,24,3,1.02777777777778
"87",2010,25,3,1.03194444444444
"88",2010,26,3,1.03472222222222
"89",2010,27,3,1.03888888888889
"90",2010,28,3,1.04166666666667
"91",2010,29,3,1.04583333333333
"92",2010,30,3,1.04861111111111
"93",2010,31,3,1.05277777777778
"94",2010,1,4,1.05555555555556
"95",2010,2,4,1.05972222222222
"96",2010,3,4,1.0625
"97",2010,4,4,1.06666666666667
"98",2010,5,4,1.07083333333333
"99",2010,6,4,1.07361111111111
"100",2010,7,4,1.07777777777778
"101",2010,8,4,1.08055555555556
"102",2010,9,4,1.08472222222222
"103",2010,10,4,1.0875
"104",2010,11,4,1.09027777777778
"105",2010,12,4,1.09444444444444
"106",2010,13,4,1.09722222222222
"107",2010,14,4,1.10138888888889
"108",2010,15,4,1.10416666666667
"109",2010,16,4,1.10833333333333
"110",2010,17,4,1.11111111111111
"111",2010,18,4,1.11388888888889
"112",2010,19,4,1.11805555555556
"113",2010,20,4,1.12083333333333
"114",2010,21,4,1.125
"115",2010,22,4,1.12777777777778
"116",2010,23,4,1.13055555555556
"117",2010,24,4,1.13472222222222
"118",2010,25,4,1.1375
"119",2010,26,4,1.14027777777778
"120",2010,27,4,1.14305555555556
"121",2010,28,4,1.14722222222222
"122",2010,29,4,1.15
"123",2010,30,4,1.15277777777778
"125",2010,1,5,1.15555555555556
"126",2010,2,5,1.15833333333333
"127",2010,3,5,1.1625
"128",2010,4,5,1.16527777777778
"129",2010,5,5,1.16805555555556
"130",2010,6,5,1.17083333333333
"131",2010,7,5,1.17361111111111
"132",2010,8,5,1.17638888888889
"133",2010,9,5,1.17916666666667
"134",2010,10,5,1.18194444444444
"135",2010,11,5,1.18472222222222
"136",2010,12,5,1.1875
"137",2010,13,5,1.19027777777778
"138",2010,14,5,1.19166666666667
"139",2010,15,5,1.19444444444444
"140",2010,16,5,1.19722222222222
"141",2010,17,5,1.2
"142",2010,18,5,1.20138888888889
"143",2010,19,5,1.20416666666667
"144",2010,20,5,1.20694444444444
"145",2010,21,5,1.20833333333333
"146",2010,22,5,1.21111111111111
"147",2010,23,5,1.2125
"148",2010,24,5,1.21527777777778
"149",2010,25,5,1.21666666666667
"150",2010,26,5,1.21944444444444
"151",2010,27,5,1.22083333333333
"152",2010,28,5,1.22222222222222
"153",2010,29,5,1.22361111111111
"154",2010,30,5,1.22638888888889
"155",2010,31,5,1.22777777777778
"156",2010,1,6,1.22916666666667
"157",2010,2,6,1.23055555555556
"158",2010,3,6,1.23194444444444
"159",2010,4,6,1.23333333333333
"160",2010,5,6,1.23472222222222
"161",2010,6,6,1.23472222222222
"162",2010,7,6,1.23611111111111
"163",2010,8,6,1.2375
"164",2010,9,6,1.23888888888889
"165",2010,10,6,1.23888888888889
"166",2010,11,6,1.24027777777778
"167",2010,12,6,1.24027777777778
"168",2010,13,6,1.24166666666667
"169",2010,14,6,1.24166666666667
"170",2010,15,6,1.24305555555556
"171",2010,16,6,1.24305555555556
"172",2010,17,6,1.24305555555556
"173",2010,18,6,1.24305555555556
"174",2010,19,6,1.24305555555556
"175",2010,20,6,1.24305555555556
"176",2010,21,6,1.24305555555556
"177",2010,22,6,1.24305555555556
"178",2010,23,6,1.24305555555556
"179",2010,24,6,1.24305555555556
"180",2010,25,6,1.24305555555556
"181",2010,26,6,1.24166666666667
"182",2010,27,6,1.24166666666667
"183",2010,28,6,1.24166666666667
"184",2010,29,6,1.24027777777778
"185",2010,30,6,1.24027777777778
"187",2010,1,7,1.23888888888889
"188",2010,2,7,1.2375
"189",2010,3,7,1.2375
"190",2010,4,7,1.23611111111111
"191",2010,5,7,1.23472222222222
"192",2010,6,7,1.23333333333333
"193",2010,7,7,1.23194444444444
"194",2010,8,7,1.23055555555556
"195",2010,9,7,1.22916666666667
"196",2010,10,7,1.22777777777778
"197",2010,11,7,1.22638888888889
"198",2010,12,7,1.225
"199",2010,13,7,1.22361111111111
"200",2010,14,7,1.22222222222222
"201",2010,15,7,1.21944444444444
"202",2010,16,7,1.21805555555556
"203",2010,17,7,1.21666666666667
"204",2010,18,7,1.21388888888889
"205",2010,19,7,1.2125
"206",2010,20,7,1.20972222222222
"207",2010,21,7,1.20833333333333
"208",2010,22,7,1.20555555555556
"209",2010,23,7,1.20277777777778
"210",2010,24,7,1.20138888888889
"211",2010,25,7,1.19861111111111
"212",2010,26,7,1.19583333333333
"213",2010,27,7,1.19444444444444
"214",2010,28,7,1.19166666666667
"215",2010,29,7,1.18888888888889
"216",2010,30,7,1.18611111111111
"217",2010,31,7,1.18333333333333
"218",2010,1,8,1.18055555555556
"219",2010,2,8,1.17777777777778
"220",2010,3,8,1.175
"221",2010,4,8,1.17222222222222
"222",2010,5,8,1.16944444444444
"223",2010,6,8,1.16666666666667
"224",2010,7,8,1.16388888888889
"225",2010,8,8,1.16111111111111
"226",2010,9,8,1.15833333333333
"227",2010,10,8,1.15555555555556
"228",2010,11,8,1.15277777777778
"229",2010,12,8,1.14861111111111
"230",2010,13,8,1.14583333333333
"231",2010,14,8,1.14305555555556
"232",2010,15,8,1.14027777777778
"233",2010,16,8,1.1375
"234",2010,17,8,1.13333333333333
"235",2010,18,8,1.13055555555556
"236",2010,19,8,1.12777777777778
"237",2010,20,8,1.12361111111111
"238",2010,21,8,1.12083333333333
"239",2010,22,8,1.11805555555556
"240",2010,23,8,1.11388888888889
"241",2010,24,8,1.11111111111111
"242",2010,25,8,1.10833333333333
"243",2010,26,8,1.10416666666667
"244",2010,27,8,1.10138888888889
"245",2010,28,8,1.09722222222222
"246",2010,29,8,1.09444444444444
"247",2010,30,8,1.09166666666667
"248",2010,31,8,1.0875
"249",2010,1,9,1.08472222222222
"250",2010,2,9,1.08055555555556
"251",2010,3,9,1.07777777777778
"252",2010,4,9,1.07361111111111
"253",2010,5,9,1.07083333333333
"254",2010,6,9,1.06666666666667
"255",2010,7,9,1.06388888888889
"256",2010,8,9,1.05972222222222
"257",2010,9,9,1.05694444444444
"258",2010,10,9,1.05277777777778
"259",2010,11,9,1.05
"260",2010,12,9,1.04583333333333
"261",2010,13,9,1.04305555555556
"262",2010,14,9,1.03888888888889
"263",2010,15,9,1.03611111111111
"264",2010,16,9,1.03194444444444
"265",2010,17,9,1.02916666666667
"266",2010,18,9,1.025
"267",2010,19,9,1.02222222222222
"268",2010,20,9,1.01805555555556
"269",2010,21,9,1.01527777777778
"270",2010,22,9,1.01111111111111
"271",2010,23,9,1.00833333333333
"272",2010,24,9,1.00416666666667
"273",2010,25,9,1.00138888888889
"274",2010,26,9,0.997222222222222
"275",2010,27,9,0.993055555555555
"276",2010,28,9,0.990277777777778
"277",2010,29,9,0.986111111111111
"278",2010,30,9,0.983333333333333
"280",2010,1,10,0.979166666666667
"281",2010,2,10,0.976388888888889
"282",2010,3,10,0.972222222222222
"283",2010,4,10,0.969444444444444
"284",2010,5,10,0.965277777777778
"285",2010,6,10,0.9625
"286",2010,7,10,0.958333333333333
"287",2010,8,10,0.955555555555556
"288",2010,9,10,0.951388888888889
"289",2010,10,10,0.948611111111111
"290",2010,11,10,0.944444444444445
"291",2010,12,10,0.941666666666667
"292",2010,13,10,0.9375
"293",2010,14,10,0.934722222222222
"294",2010,15,10,0.930555555555555
"295",2010,16,10,0.927777777777778
"296",2010,17,10,0.925
"297",2010,18,10,0.920833333333333
"298",2010,19,10,0.918055555555556
"299",2010,20,10,0.913888888888889
"300",2010,21,10,0.911111111111111
"301",2010,22,10,0.906944444444444
"302",2010,23,10,0.904166666666667
"303",2010,24,10,0.901388888888889
"304",2010,25,10,0.897222222222222
"305",2010,26,10,0.894444444444444
"306",2010,27,10,0.891666666666667
"307",2010,28,10,0.8875
"308",2010,29,10,0.884722222222222
"309",2010,30,10,0.881944444444445
"310",2010,31,10,0.879166666666667
"311",2010,1,11,0.875
"312",2010,2,11,0.872222222222222
"313",2010,3,11,0.869444444444444
"314",2010,4,11,0.866666666666667
"315",2010,5,11,0.863888888888889
"316",2010,6,11,0.861111111111111
"317",2010,7,11,0.856944444444444
"318",2010,8,11,0.854166666666667
"319",2010,9,11,0.851388888888889
"320",2010,10,11,0.848611111111111
"321",2010,11,11,0.845833333333333
"322",2010,12,11,0.843055555555556
"323",2010,13,11,0.840277777777778
"324",2010,14,11,0.8375
"325",2010,15,11,0.836111111111111
"326",2010,16,11,0.833333333333333
"327",2010,17,11,0.830555555555556
"328",2010,18,11,0.827777777777778
"329",2010,19,11,0.825
"330",2010,20,11,0.823611111111111
"331",2010,21,11,0.820833333333333
"332",2010,22,11,0.818055555555556
"333",2010,23,11,0.816666666666667
"334",2010,24,11,0.813888888888889
"335",2010,25,11,0.8125
"336",2010,26,11,0.809722222222222
"337",2010,27,11,0.808333333333333
"338",2010,28,11,0.806944444444444
"339",2010,29,11,0.804166666666667
"340",2010,30,11,0.802777777777778
"342",2010,1,12,0.801388888888889
"343",2010,2,12,0.8
"344",2010,3,12,0.798611111111111
"345",2010,4,12,0.797222222222222
"346",2010,5,12,0.795833333333333
"347",2010,6,12,0.794444444444444
"348",2010,7,12,0.793055555555556
"349",2010,8,12,0.791666666666667
"350",2010,9,12,0.790277777777778
"351",2010,10,12,0.790277777777778
"352",2010,11,12,0.788888888888889
"353",2010,12,12,0.7875
"354",2010,13,12,0.7875
"355",2010,14,12,0.786111111111111
"356",2010,15,12,0.786111111111111
"357",2010,16,12,0.786111111111111
"358",2010,17,12,0.784722222222222
"359",2010,18,12,0.784722222222222
"360",2010,19,12,0.784722222222222
"361",2010,20,12,0.784722222222222
"362",2010,21,12,0.784722222222222
"363",2010,22,12,0.784722222222222
"364",2010,23,12,0.784722222222222
"365",2010,24,12,0.784722222222222
"366",2010,25,12,0.786111111111111
"367",2010,26,12,0.786111111111111
"368",2010,27,12,0.786111111111111
"369",2010,28,12,0.7875
"370",2010,29,12,0.7875
"371",2010,30,12,0.788888888888889
"372",2010,31,12,0.788888888888889
"124",2011,1,1,0.790277777777778
"279",2011,2,1,0.790277777777778
"341",2011,3,1,0.791666666666667
"410",2011,4,1,0.793055555555556
"510",2011,5,1,0.794444444444444
"61",2011,6,1,0.795833333333333
"710",2011,7,1,0.797222222222222
"810",2011,8,1,0.798611111111111
"910",2011,9,1,0.8
"1010",2011,10,1,0.801388888888889
"1110",2011,11,1,0.802777777777778
"1210",2011,12,1,0.804166666666667
"1310",2011,13,1,0.806944444444444
"1410",2011,14,1,0.808333333333333
"1510",2011,15,1,0.811111111111111
"1610",2011,16,1,0.8125
"1710",2011,17,1,0.813888888888889
"186",2011,18,1,0.816666666666667
"1910",2011,19,1,0.819444444444445
"2010",2011,20,1,0.820833333333333
"2110",2011,21,1,0.823611111111111
"2210",2011,22,1,0.826388888888889
"2310",2011,23,1,0.827777777777778
"2410",2011,24,1,0.830555555555556
"2510",2011,25,1,0.833333333333333
"2610",2011,26,1,0.836111111111111
"2710",2011,27,1,0.838888888888889
"2810",2011,28,1,0.841666666666667
"2910",2011,29,1,0.844444444444444
"3010",2011,30,1,0.847222222222222
"3110",2011,31,1,0.85
"3210",2011,1,2,0.852777777777778
"3310",2011,2,2,0.855555555555556
"3410",2011,3,2,0.858333333333333
"3510",2011,4,2,0.861111111111111
"3610",2011,5,2,0.863888888888889
"373",2011,6,2,0.866666666666667
"381",2011,7,2,0.870833333333333
"391",2011,8,2,0.873611111111111
"401",2011,9,2,0.876388888888889
"411",2011,10,2,0.879166666666667
"421",2011,11,2,0.883333333333333
"431",2011,12,2,0.886111111111111
"441",2011,13,2,0.888888888888889
"451",2011,14,2,0.893055555555556
"461",2011,15,2,0.895833333333333
"471",2011,16,2,0.898611111111111
"481",2011,17,2,0.902777777777778
"491",2011,18,2,0.905555555555556
"501",2011,19,2,0.909722222222222
"511",2011,20,2,0.9125
"521",2011,21,2,0.915277777777778
"531",2011,22,2,0.919444444444444
"541",2011,23,2,0.922222222222222
"551",2011,24,2,0.926388888888889
"561",2011,25,2,0.929166666666667
"571",2011,26,2,0.933333333333333
"581",2011,27,2,0.936111111111111
"591",2011,28,2,0.940277777777778
"631",2011,1,3,0.943055555555556
"641",2011,2,3,0.947222222222222
"651",2011,3,3,0.95
"661",2011,4,3,0.954166666666667
"671",2011,5,3,0.956944444444444
"681",2011,6,3,0.961111111111111
"691",2011,7,3,0.963888888888889
"701",2011,8,3,0.968055555555556
"711",2011,9,3,0.972222222222222
"721",2011,10,3,0.975
"731",2011,11,3,0.979166666666667
"741",2011,12,3,0.981944444444444
"751",2011,13,3,0.986111111111111
"761",2011,14,3,0.988888888888889
"771",2011,15,3,0.993055555555555
"781",2011,16,3,0.997222222222222
"791",2011,17,3,1
"801",2011,18,3,1.00416666666667
"811",2011,19,3,1.00694444444444
"821",2011,20,3,1.01111111111111
"831",2011,21,3,1.01388888888889
"841",2011,22,3,1.01805555555556
"851",2011,23,3,1.02222222222222
"861",2011,24,3,1.025
"871",2011,25,3,1.02916666666667
"881",2011,26,3,1.03194444444444
"891",2011,27,3,1.03611111111111
"901",2011,28,3,1.03888888888889
"911",2011,29,3,1.04305555555556
"921",2011,30,3,1.04583333333333
"931",2011,31,3,1.05
"941",2011,1,4,1.05416666666667
"951",2011,2,4,1.05694444444444
"961",2011,3,4,1.06111111111111
"971",2011,4,4,1.06388888888889
"981",2011,5,4,1.06805555555556
"991",2011,6,4,1.07083333333333
"1001",2011,7,4,1.075
"1011",2011,8,4,1.07777777777778
"1021",2011,9,4,1.08194444444444
"1031",2011,10,4,1.08472222222222
"1041",2011,11,4,1.08888888888889
"1051",2011,12,4,1.09166666666667
"1061",2011,13,4,1.09583333333333
"1071",2011,14,4,1.09861111111111
"1081",2011,15,4,1.10138888888889
"1091",2011,16,4,1.10555555555556
"1101",2011,17,4,1.10833333333333
"1111",2011,18,4,1.1125
"1121",2011,19,4,1.11527777777778
"1131",2011,20,4,1.11805555555556
"1141",2011,21,4,1.12222222222222
"1151",2011,22,4,1.125
"1161",2011,23,4,1.12916666666667
"1171",2011,24,4,1.13194444444444
"1181",2011,25,4,1.13472222222222
"1191",2011,26,4,1.1375
"1201",2011,27,4,1.14166666666667
"1211",2011,28,4,1.14444444444444
"1221",2011,29,4,1.14722222222222
"1231",2011,30,4,1.15
"1251",2011,1,5,1.15416666666667
"1261",2011,2,5,1.15694444444444
"1271",2011,3,5,1.15972222222222
"1281",2011,4,5,1.1625
"1291",2011,5,5,1.16527777777778
"1301",2011,6,5,1.16805555555556
"1311",2011,7,5,1.17083333333333
"1321",2011,8,5,1.17361111111111
"1331",2011,9,5,1.17638888888889
"1341",2011,10,5,1.17916666666667
"1351",2011,11,5,1.18194444444444
"1361",2011,12,5,1.18472222222222
"1371",2011,13,5,1.1875
"1381",2011,14,5,1.19027777777778
"1391",2011,15,5,1.19305555555556
"1401",2011,16,5,1.19583333333333
"1411",2011,17,5,1.19722222222222
"1421",2011,18,5,1.2
"1431",2011,19,5,1.20277777777778
"1441",2011,20,5,1.20416666666667
"1451",2011,21,5,1.20694444444444
"1461",2011,22,5,1.20972222222222
"1471",2011,23,5,1.21111111111111
"1481",2011,24,5,1.21388888888889
"1491",2011,25,5,1.21527777777778
"1501",2011,26,5,1.21805555555556
"1511",2011,27,5,1.21944444444444
"1521",2011,28,5,1.22083333333333
"1531",2011,29,5,1.22222222222222
"1541",2011,30,5,1.225
"1551",2011,31,5,1.22638888888889
"1561",2011,1,6,1.22777777777778
"1571",2011,2,6,1.22916666666667
"1581",2011,3,6,1.23055555555556
"1591",2011,4,6,1.23194444444444
"1601",2011,5,6,1.23333333333333
"1611",2011,6,6,1.23472222222222
"1621",2011,7,6,1.23611111111111
"1631",2011,8,6,1.23611111111111
"1641",2011,9,6,1.2375
"1651",2011,10,6,1.23888888888889
"1661",2011,11,6,1.23888888888889
"1671",2011,12,6,1.24027777777778
"1681",2011,13,6,1.24027777777778
"1691",2011,14,6,1.24166666666667
"1701",2011,15,6,1.24166666666667
"1711",2011,16,6,1.24305555555556
"1721",2011,17,6,1.24305555555556
"1731",2011,18,6,1.24305555555556
"1741",2011,19,6,1.24305555555556
"1751",2011,20,6,1.24305555555556
"1761",2011,21,6,1.24305555555556
"1771",2011,22,6,1.24305555555556
"1781",2011,23,6,1.24305555555556
"1791",2011,24,6,1.24305555555556
"1801",2011,25,6,1.24305555555556
"1811",2011,26,6,1.24305555555556
"1821",2011,27,6,1.24166666666667
"1831",2011,28,6,1.24166666666667
"1841",2011,29,6,1.24027777777778
"1851",2011,30,6,1.24027777777778
"1871",2011,1,7,1.23888888888889
"1881",2011,2,7,1.23888888888889
"1891",2011,3,7,1.2375
"1901",2011,4,7,1.23611111111111
"1911",2011,5,7,1.23611111111111
"1921",2011,6,7,1.23472222222222
"1931",2011,7,7,1.23333333333333
"1941",2011,8,7,1.23194444444444
"1951",2011,9,7,1.23055555555556
